Nama_UMKM,Nama_Reviewer,Tanggal_Ulasan,Rating,Teks_Ulasan
Dapur ABC,Yoga Saputra,4/27/2021,5,Rasanya dapet
Dapur ABC,Wawan Setiawan,5/14/2025,4,Ngiler liatnya
Dapur ABC,Budi Setiawan,10/11/2022,3,Rasanya biasa aja
Dapur ABC,Fajar Ramadhan,8/7/2024,3,Kurang nendang
Dapur ABC,Wawan Setiawan,12/23/2025,3,Rasanya biasa aja
Dapur ABC,Siti Nurhaliza,12/14/2021,3,Ok tapi biasa aja
Dapur ABC,Yuni Astuti,11/9/2021,4,Makanan top markotop
Dapur ABC,Fajar Ramadhan,10/25/2021,3,Rasanya biasa aja
Dapur ABC,Teguh Pratama,1/18/2024,4,Kayak di surga
Dapur ABC,Rangga Prakoso,8/23/2022,5,Suka bgt
Dapur ABC,Ahmad Fauzi,4/22/2024,3,Ok tapi biasa aja
Dapur ABC,Fajar Ramadhan,11/14/2024,3,Ok tapi biasa aja
Dapur ABC,Rangga Prakoso,4/19/2022,5,Wkwkwk recomended
Dapur ABC,Ahmad Fauzi,6/14/2024,5,Wkwkwk recomended
Dapur ABC,Rina Yuliani,8/8/2022,5,Ngiler liatnya
Dapur ABC,Indah Puspita,9/22/2023,4,Suka bgt
Dapur ABC,Rina Yuliani,10/23/2025,3,Kurang nendang
Dapur ABC,Sari Melati,7/6/2025,4,Mantap bgt
Dapur ABC,Siti Nurhaliza,9/28/2021,5,Fix balik lagi
Dapur ABC,Lina Marlina,5/26/2023,3,Ok tapi biasa aja
Dapur ABC,Yoga Saputra,8/31/2022,5,Kudu dicoba
Dapur ABC,Fadhil Ramdani,4/19/2021,5,Bintang lima lah
Dapur ABC,Bayu Nugroho,2/19/2025,4,Next time bawa temen
Dapur ABC,Rina Yuliani,6/20/2024,4,Kayak di surga
Dapur ABC,Andi Prasetyo,8/4/2022,4,Rasa mantul
Dapur ABC,Ahmad Fauzi,12/27/2024,5,Kudu dicoba
Dapur ABC,Teguh Pratama,1/15/2024,3,Agak kecewa sama rasa
Dapur ABC,Dita Anggraini,6/3/2023,5,Rasanya dapet
Dapur ABC,Lina Marlina,4/30/2021,3,Lumayan tapi ga wow
Dapur ABC,Agus Santoso,8/28/2021,4,Cocok banget buat nongkrong
Dapur ABC,Siti Nurhaliza,9/12/2025,3,Cuma oke lah
Dapur ABC,Rina Permatasari,10/20/2025,4,Beneran maknyus
Dapur ABC,Citra Dewi,1/4/2024,5,Rasanya dapet
Dapur ABC,Rangga Prakoso,6/15/2025,5,Gokil rasanya
Dapur ABC,Rina Permatasari,3/12/2024,5,"Enak parah, ga bohong"
Dapur ABC,Putri Maharani,1/8/2022,5,Beneran maknyus
Dapur ABC,Fikri Maulana,12/1/2021,5,Rasa mantul
Dapur ABC,Rina Permatasari,10/28/2022,5,Jozz banget
Dapur ABC,Tina Wulandari,10/11/2025,3,Biasa aja tapi ga jelek
Dapur ABC,Andi Prasetyo,4/6/2025,5,Yes banget
Dapur ABC,Fajar Ramadhan,8/2/2025,4,Suka bgt
Dapur ABC,Ahmad Fauzi,10/11/2025,3,Cuma oke lah
Dapur ABC,Budi Setiawan,5/1/2022,4,Yes banget
Dapur ABC,Rudi Hartono,7/12/2022,3,Rasanya biasa aja
Dapur ABC,Eka Kurniawan,10/17/2021,4,Cocok banget buat nongkrong
Dapur ABC,Putri Maharani,3/8/2025,3,Ok tapi biasa aja
Dapur ABC,Dian Putra,9/14/2025,4,Kayak di surga
Dapur ABC,Dian Putra,4/25/2023,5,Suka bgt
Dapur ABC,Rudi Hartono,5/20/2024,3,Ok tapi biasa aja
Dapur ABC,Wawan Setiawan,1/20/2022,3,Lumayan tapi kurang greget
Dapur ABC,Lina Marlina,12/6/2025,5,Bikin ketagihan
Dapur ABC,Eka Kurniawan,8/9/2025,4,Kudu dicoba
Dapur ABC,Yoga Saputra,3/1/2026,4,Ngiler liatnya
Dapur ABC,Bayu Nugroho,5/3/2025,4,Gila enak parah
Dapur ABC,Fadhil Ramdani,9/9/2025,3,Ga terlalu spesial
Dapur ABC,Dian Putra,5/28/2021,3,Lumayan tapi ga wow
Dapur ABC,Wawan Setiawan,12/18/2024,3,Kurang nendang
Dapur ABC,Fajar Ramadhan,12/10/2022,5,Mantap bgt
Dapur ABC,Ahmad Fauzi,12/8/2025,3,Lumayan tapi kurang greget
Dapur ABC,Putri Maharani,4/17/2025,4,Cocok banget buat nongkrong
